"obj_id","ra","dec","filter","mjd","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","mag","magerr","magsys","limiting_mag"
"ZTF21abbyhvw","","","ztfg","59324.18665509997","1","ZTF","","","","113544590","","","","ab","20.225200653076172"
"ZTF21abbyhvw","","","ztfr","59324.215972200036","1","ZTF","","","","113544591","","","","ab","20.02869987487793"
"ZTF21abbyhvw","","","ztfg","59328.2182407002","1","ZTF","","","","113544592","","","","ab","19.47369956970215"
"ZTF21abbyhvw","","","ztfr","59328.2355324002","1","ZTF","","","","113544593","","","","ab","19.586700439453125"
"ZTF21abbyhvw","","","ztfg","59334.20347219985","1","ZTF","","","","113544594","","","","ab","20.656200408935547"
"ZTF21abbyhvw","","","ztfr","59334.261111100204","1","ZTF","","","","113544595","","","","ab","20.25119972229004"
"ZTF21abbyhvw","","","ztfg","59336.24361110013","1","ZTF","","","","113544596","","","","ab","20.595399856567383"
"ZTF21abbyhvw","","","ztfr","59336.30722220009","1","ZTF","","","","113544597","","","","ab","20.520700454711914"
"ZTF21abbyhvw","","","ztfg","59338.19839120004","1","ZTF","","","","113544598","","","","ab","20.744699478149414"
"ZTF21abbyhvw","","","ztfr","59338.2448148001","1","ZTF","","","","113544599","","","","ab","20.48189926147461"
"ZTF21abbyhvw","","","ztfg","59340.19879630022","1","ZTF","","","","113544600","","","","ab","20.704599380493164"
"ZTF21abbyhvw","","","ztfr","59340.28666670015","1","ZTF","","","","113544601","","","","ab","20.483400344848633"
"ZTF21abbyhvw","","","ztfg","59342.240266200155","1","ZTF","","","","113544602","","","","ab","20.776599884033203"
"ZTF21abbyhvw","","","ztfr","59342.282627299894","1","ZTF","","","","113544603","","","","ab","20.483800888061523"
"ZTF21abbyhvw","","","ztfr","59344.21321759978","1","ZTF","","","","113544604","","","","ab","20.578100204467773"
"ZTF21abbyhvw","","","ztfg","59344.259131900035","1","ZTF","","","","113544605","","","","ab","20.751399993896484"
"ZTF21abbyhvw","","","ztfr","59346.30465279985","1","ZTF","","","","113544606","","","","ab","20.21929931640625"
"ZTF21abbyhvw","","","ztfg","59346.36986109987","1","ZTF","","","","113544607","","","","ab","20.0403995513916"
"ZTF21abbyhvw","","","ztfr","59348.19810190005","1","ZTF","","","","113544608","","","","ab","20.60070037841797"
"ZTF21abbyhvw","","","ztfg","59348.22537040012","1","ZTF","","","","113544609","","","","ab","20.737699508666992"
"ZTF21abbyhvw","","","ztfg","59350.20253469981","1","ZTF","","","","113544610","","","","ab","20.291000366210938"
"ZTF21abbyhvw","","","ztfr","59350.2240046002","1","ZTF","","","","113544611","","","","ab","20.155099868774414"
"ZTF21abbyhvw","166.9944682","36.8756176","ztfr","59353.194294000044","1","ZTF","","","","113544612","","19.498249053955078","0.15532839298248288","ab","19.862007720329316"
"ZTF21abbyhvw","","","ztfi","59325.24118060013","1","ZTF","","","","113546066","","","","ab","19.763900756835938"
"ZTF21abbyhvw","","","ztfi","59334.2978356001","1","ZTF","","","","113546067","","","","ab","19.725200653076172"
"ZTF21abbyhvw","","","ztfi","59339.203125","1","ZTF","","","","113546068","","","","ab","19.885299682617188"
"ZTF21abbyhvw","","","ztfi","59342.19164349977","1","ZTF","","","","113546069","","","","ab","19.875699996948242"
"ZTF21abbyhvw","","","ztfi","59349.25668979995","1","ZTF","","","","113546070","","","","ab","19.667600631713867"
"ZTF21abbyhvw","166.9944682","36.8756176","ztfr","59353.194294000044","1","ZTF","","","","113546059","","19.498199462890625","0.15532800555229187","ab","19.86196083738217"
"ZTF21abbyhvw","166.9945328","36.8756368","ztfg","59353.2185531999","1","ZTF","","","","113560658","","19.219444274902344","0.11076938360929489","ab","19.95028071641826"
"ZTF21abbyhvw","166.9945328","36.8756368","ztfg","59353.2185531999","1","ZTF","","","","113562342","","19.21940040588379","0.11076900362968442","ab","19.95024057187947"
"ZTF21abbyhvw","166.9944224","36.875607","ztfi","59354.20549769979","1","ZTF","","","","113984967","","19.19542694091797","0.19297435879707336","ab","19.323563713613456"
"ZTF21abbyhvw","166.9944224","36.875607","ztfi","59354.20549769979","1","ZTF","","","","113991080","","19.19540023803711","0.19297400116920468","ab","19.32353902286461"
"ZTF21abbyhvw","","","sdssi","59355.19715420017","2","SEDM","","","SEDM_FPIPE_SDSS","114271146","","18.722013145361338","0.08231547800732188","ab","19.775195173240043"
"ZTF21abbyhvw","","","sdssr","59355.19443289982","2","SEDM","","","SEDM_FPIPE_SDSS","114270596","","18.64840532359427","0.11784544924660735","ab","19.312009071823443"
"ZTF21abbyhvw","166.9944962","36.8756276","ztfr","59355.19437499996","1","ZTF","","","","114272155","","18.6072998046875","0.12464900314807889","ab","19.2099635695719"
"ZTF21abbyhvw","166.9944962","36.8756276","ztfr","59355.19437499996","1","ZTF","","","","114272198","","18.60729217529297","0.12464934587478638","ab","19.20995295491256"
"ZTF21abbyhvw","","","ztfg","59324.18665509997","1","ZTF","","","","114273949","","","","ab","20.225200653076172"
"ZTF21abbyhvw","","","ztfr","59324.215972200036","1","ZTF","","","","114273950","","","","ab","20.02869987487793"
"ZTF21abbyhvw","","","ztfi","59325.24118060013","1","ZTF","","","","114273951","","","","ab","19.763900756835938"
"ZTF21abbyhvw","","","ztfg","59328.2182407002","1","ZTF","","","","114273952","","","","ab","19.47369956970215"
"ZTF21abbyhvw","","","ztfr","59328.2355324002","1","ZTF","","","","114273953","","","","ab","19.586700439453125"
"ZTF21abbyhvw","","","ztfg","59334.20347219985","1","ZTF","","","","114273954","","","","ab","20.656200408935547"
"ZTF21abbyhvw","","","ztfr","59334.261111100204","1","ZTF","","","","114273955","","","","ab","20.25119972229004"
"ZTF21abbyhvw","","","ztfi","59334.2978356001","1","ZTF","","","","114273956","","","","ab","19.725200653076172"
"ZTF21abbyhvw","","","ztfg","59336.24361110013","1","ZTF","","","","114273957","","","","ab","20.595399856567383"
"ZTF21abbyhvw","","","ztfr","59336.30722220009","1","ZTF","","","","114273958","","","","ab","20.520700454711914"
"ZTF21abbyhvw","","","ztfg","59338.19839120004","1","ZTF","","","","114273959","","","","ab","20.744699478149414"
"ZTF21abbyhvw","","","ztfr","59338.2448148001","1","ZTF","","","","114273960","","","","ab","20.48189926147461"
"ZTF21abbyhvw","","","ztfi","59339.203125","1","ZTF","","","","114273961","","","","ab","19.885299682617188"
"ZTF21abbyhvw","","","ztfg","59340.19879630022","1","ZTF","","","","114273962","","","","ab","20.704599380493164"
"ZTF21abbyhvw","","","ztfr","59340.28666670015","1","ZTF","","","","114273963","","","","ab","20.483400344848633"
"ZTF21abbyhvw","","","ztfi","59342.19164349977","1","ZTF","","","","114273964","","","","ab","19.875699996948242"
"ZTF21abbyhvw","","","ztfg","59342.240266200155","1","ZTF","","","","114273965","","","","ab","20.776599884033203"
"ZTF21abbyhvw","","","ztfr","59342.282627299894","1","ZTF","","","","114273966","","","","ab","20.483800888061523"
"ZTF21abbyhvw","","","ztfr","59344.21321759978","1","ZTF","","","","114273967","","","","ab","20.578100204467773"
"ZTF21abbyhvw","","","ztfg","59344.259131900035","1","ZTF","","","","114273968","","","","ab","20.751399993896484"
"ZTF21abbyhvw","","","ztfr","59346.30465279985","1","ZTF","","","","114273969","","","","ab","20.21929931640625"
"ZTF21abbyhvw","","","ztfg","59346.36986109987","1","ZTF","","","","114273970","","","","ab","20.0403995513916"
"ZTF21abbyhvw","","","ztfr","59348.19810190005","1","ZTF","","","","114273971","","","","ab","20.60070037841797"
"ZTF21abbyhvw","","","ztfg","59348.22537040012","1","ZTF","","","","114273972","","","","ab","20.737699508666992"
"ZTF21abbyhvw","","","ztfi","59349.25668979995","1","ZTF","","","","114273973","","","","ab","19.667600631713867"
"ZTF21abbyhvw","","","ztfg","59350.20253469981","1","ZTF","","","","114273974","","","","ab","20.291000366210938"
"ZTF21abbyhvw","","","ztfr","59350.2240046002","1","ZTF","","","","114273975","","","","ab","20.155099868774414"
"ZTF21abbyhvw","166.9944682","36.8756176","ztfr","59353.194294000044","1","ZTF","","","","114273976","","19.498249053955078","0.15532839298248294","ab","20.128334045410156"
"ZTF21abbyhvw","166.9945473","36.8756677","ztfg","59355.2666782001","1","ZTF","","","","114298057","","18.372743606567383","0.08847267180681229","ab","19.347606538584614"
"ZTF21abbyhvw","","","sdssr","59355.278282199986","2","SEDM","","","SEDM_FPIPE_SDSS","114301576","","","","ab","18.4"
"ZTF21abbyhvw","166.9945473","36.8756677","ztfg","59355.2666782001","1","ZTF","","","","114301577","","18.372699737548828","0.08847299963235855","ab","19.347558646499976"
"ZTF21abbyhvw","166.9945473","36.8756677","ztfg","59355.2666782001","1","ZTF","","","","114303050","","18.372743606567383","0.08847267180681229","ab","19.418319702148438"
"ZTF21abbyhvw","166.9945036","36.875633","ztfi","59358.19763890002","1","ZTF","","","","114851676","","18.16982078552246","0.08303304016590117","ab","19.213579226008797"
"ZTF21abbyhvw","166.9945036","36.875633","ztfi","59358.19763890002","1","ZTF","","","","114867692","","18.1697998046875","0.0830330029129982","ab","19.213558732291187"
"ZTF21abbyhvw","166.9945006","36.8756629","ztfg","59358.24491900019","1","ZTF","","","","114868730","","17.83664321899414","0.0709209218621254","ab","19.051593077782783"
"ZTF21abbyhvw","166.9945036","36.875633","ztfi","59358.19763890002","1","ZTF","","","","114874799","","18.16982078552246","0.08303304016590118","ab","19.467226028442383"
"ZTF21abbyhvw","166.9944911","36.8756624","ztfr","59358.2858564998","1","ZTF","","","","114875527","","17.920833587646484","0.06585463136434555","ab","19.435331344604492"
"ZTF21abbyhvw","166.9945006","36.8756629","ztfg","59358.24491900019","1","ZTF","","","","114930763","","17.836599349975586","0.07092099636793135","ab","19.051548068147238"
"ZTF21abbyhvw","166.9944911","36.8756624","ztfr","59358.2858564998","1","ZTF","","","","114995469","","17.920833587646484","0.06585463136434554","ab","19.21625356914446"
"ZTF21abbyhvw","166.9944911","36.8756624","ztfr","59358.2858564998","1","ZTF","","","","115087247","","17.920799255371094","0.06585499644279479","ab","19.216213217887823"
"ZTF21abbyhvw","166.9944804","36.8756567","ztfr","59361.199780100025","1","ZTF","","","","116537212","","17.60198974609375","0.04856397584080696","ab","19.228089949209824"
"ZTF21abbyhvw","166.9945173","36.8756495","ztfg","59361.25810190011","1","ZTF","","","","116569093","","17.657129287719727","0.060673736035823815","ab","19.041513232281602"
"ZTF21abbyhvw","166.9944804","36.8756567","ztfr","59361.199780100025","1","ZTF","","","","116569066","","17.601999282836914","0.04856399819254875","ab","19.22809898623917"
"ZTF21abbyhvw","166.9945173","36.8756495","ztfg","59361.25810190011","1","ZTF","","","","116569067","","17.657100677490234","0.060674000531435006","ab","19.041479889001963"
"ZTF21abbyhvw","166.9945173","36.8756495","ztfg","59361.25810190011","1","ZTF","","","","116585446","","17.657129287719727","0.06067373603582383","ab","19.468809127807617"
"ZTF21abbyhvw","166.9944644","36.8756644","ztfr","59363.186273099855","1","ZTF","","","","117285057","","17.498994827270508","0.05324794352054596","ab","19.025123517302106"
"ZTF21abbyhvw","166.9944644","36.8756644","ztfr","59363.186273099855","1","ZTF","","","","117287993","","17.499000549316406","0.05324799939990043","ab","19.025128099957403"
"ZTF21abbyhvw","166.9945009","36.875654","ztfg","59363.222951400094","1","ZTF","","","","117345145","","17.550935745239258","0.04848094284534454","ab","19.178893891101495"
"ZTF21abbyhvw","166.9945009","36.875654","ztfg","59363.222951400094","1","ZTF","","","","118219794","","17.550899505615234","0.04848099872469901","ab","19.17885640005372"
"ZTF21abbyhvw","166.9944942","36.8756535","ztfr","59365.18768520001","1","ZTF","","","","118219795","","17.4139461517334","0.038917336612939835","ab","19.280474163856283"
"ZTF21abbyhvw","166.9944942","36.8756535","ztfr","59365.18768520001","1","ZTF","","","","118225968","","17.41390037536621","0.03891700133681297","ab","19.280437741238075"
"ZTF21abbyhvw","166.9945072","36.8756589","ztfg","59365.19659719989","1","ZTF","","","","118225969","","17.603759765625","0.04729579761624336","ab","19.258589169740553"
"ZTF21abbyhvw","166.9945072","36.8756589","ztfg","59365.19659719989","1","ZTF","","","","118639186","","17.60379981994629","0.04729599878191947","ab","19.258624606053388"
"ZTF21abbyhvw","166.9944925","36.8756518","ztfr","59367.199213000014","1","ZTF","","","","119185420","","17.391321182250977","0.04190767928957938","ab","19.17747294211838"
"ZTF21abbyhvw","166.9944925","36.8756518","ztfr","59367.199213000014","1","ZTF","","","","119227304","","17.391321182250977","0.04190767928957939","ab","20.288328170776367"
"ZTF21abbyhvw","166.9944925","36.8756518","ztfr","59367.199213000014","1","ZTF","","","","119238703","","17.391300201416016","0.04190799966454506","ab","19.177443661101314"
"ZTF21abbyhvw","166.9944988","36.875649","ztfg","59367.241388900205","1","ZTF","","","","119238704","","17.67978286743164","0.04984875023365021","ab","19.2775329702365"
"ZTF21abbyhvw","166.9944988","36.875649","ztfg","59367.241388900205","1","ZTF","","","","119274591","","17.67978286743164","0.04984875023365021","ab","20.449430465698242"
"ZTF21abbyhvw","166.9945334","36.8756408","ztfi","59367.324282399844","1","ZTF","","","","119334431","","17.63191795349121","0.06424012035131454","ab","18.954287877820466"
"ZTF21abbyhvw","166.9944988","36.875649","ztfg","59367.241388900205","1","ZTF","","","","119334430","","17.679800033569336","0.04984899982810021","ab","19.277544700068347"
"ZTF21abbyhvw","","","sdssr","59368.17551220022","2","SEDM","","","SEDM_FPIPE_SDSS","119547317","","17.313742123004463","0.022604453341605997","ab","19.77014289042684"
"ZTF21abbyhvw","166.9945032","36.8756423","ztfg","59369.22212960012","1","ZTF","","","","120166165","","17.820890426635742","0.05206051096320152","ab","19.371505149964378"
"ZTF21abbyhvw","166.9945032","36.8756423","ztfg","59369.22212960012","1","ZTF","","","","120560068","","17.820899963378906","0.052060998976230614","ab","19.371504509109958"
"ZTF21abbyhvw","166.9945334","36.8756408","ztfi","59367.324282399844","1","ZTF","","","","120560069","","17.631900787353516","0.064240001142025","ab","18.954272726466694"
"ZTF21abbyhvw","166.9944954","36.8756549","ztfi","59370.187893500086","1","ZTF","","","","120560070","","17.540075302124023","0.052313730120658875","ab","19.085421872246837"
"ZTF21abbyhvw","166.9944765","36.8756423","ztfr","59371.223275499884","1","ZTF","","","","121961602","","17.322500228881836","0.04816199839115142","ab","18.957624770841136"
"ZTF21abbyhvw","166.9945048","36.8756484","ztfr","59373.21912040003","1","ZTF","","","","121961603","","17.37302589416504","0.046060748398303986","ab","19.056584207923784"
"ZTF21abbyhvw","166.9945048","36.8756484","ztfr","59373.21912040003","1","ZTF","","","","122003632","","17.37299919128418","0.046061001718044274","ab","19.056551533849085"
"ZTF21abbyhvw","166.9944857","36.8756249","ztfg","59373.26564810006","1","ZTF","","","","122003633","","18.25092887878418","0.07044965028762817","ab","19.473117563848017"
"ZTF21abbyhvw","166.9944857","36.8756249","ztfg","59373.26564810006","1","ZTF","","","","122803909","","18.250900268554688","0.07045000046491622","ab","19.473083556867607"
"ZTF21abbyhvw","166.9945013","36.875646","ztfr","59375.22508100001","1","ZTF","","","","122803910","","17.457168579101562","0.04863247647881507","ab","19.081738404651933"
"ZTF21abbyhvw","166.9945013","36.875646","ztfr","59375.22508100001","1","ZTF","","","","122830769","","17.457168579101562","0.04863247647881508","ab","20.123634338378906"
"ZTF21abbyhvw","","","ztfr","59348.19810190005","1","ZTF","","","None","125218070","","","","ab","20.60070037841797"
"ZTF21abbyhvw","166.9944765","36.8756423","ztfr","59371.223275499884","1","ZTF","","","","120997291","","17.32248878479004","0.048162221908569336","ab","20.343639373779297"
"ZTF21abbyhvw","","","ztfg","59348.22537040012","1","ZTF","","","None","125218071","","","","ab","20.737699508666992"
"ZTF21abbyhvw","166.9944804","36.8756567","ztfr","59361.199780100025","1","ZTF","","","None","125218080","","17.601999282836914","0.04856399819254875","ab","19.22809898623917"
"ZTF21abbyhvw","","","ztfg","59350.20253469981","1","ZTF","","","None","125218072","","","","ab","20.291000366210938"
"ZTF21abbyhvw","166.9945173","36.8756495","ztfg","59361.25810190011","1","ZTF","","","None","125218081","","17.657100677490234","0.060674000531435006","ab","19.041479889001963"
"ZTF21abbyhvw","","","ztfr","59350.2240046002","1","ZTF","","","None","125218073","","","","ab","20.155099868774414"
"ZTF21abbyhvw","166.9944644","36.8756644","ztfr","59363.186273099855","1","ZTF","","","None","125218082","","17.499000549316406","0.05324799939990043","ab","19.025128099957403"
"ZTF21abbyhvw","166.9944682","36.8756176","ztfr","59353.194294000044","1","ZTF","","","None","125218074","","19.498199462890625","0.15532800555229187","ab","19.86196083738217"
"ZTF21abbyhvw","166.9945009","36.875654","ztfg","59363.222951400094","1","ZTF","","","None","125218083","","17.550899505615234","0.04848099872469901","ab","19.17885640005372"
"ZTF21abbyhvw","166.9945328","36.8756368","ztfg","59353.2185531999","1","ZTF","","","None","125218075","","19.21940040588379","0.11076900362968442","ab","19.95024057187947"
"ZTF21abbyhvw","166.9944942","36.8756535","ztfr","59365.18768520001","1","ZTF","","","None","125218084","","17.41390037536621","0.03891700133681297","ab","19.280437741238075"
"ZTF21abbyhvw","166.9944962","36.8756276","ztfr","59355.19437499996","1","ZTF","","","None","125218076","","18.6072998046875","0.12464900314807889","ab","19.2099635695719"
"ZTF21abbyhvw","166.9945072","36.8756589","ztfg","59365.19659719989","1","ZTF","","","None","125218085","","17.60379981994629","0.04729599878191947","ab","19.258624606053388"
"ZTF21abbyhvw","166.9944925","36.8756518","ztfr","59367.199213000014","1","ZTF","","","None","125218086","","17.391300201416016","0.04190799966454506","ab","19.177443661101314"
"ZTF21abbyhvw","166.9945473","36.8756677","ztfg","59355.2666782001","1","ZTF","","","None","125218077","","18.372699737548828","0.08847299963235855","ab","19.347558646499976"
"ZTF21abbyhvw","166.9944988","36.875649","ztfg","59367.241388900205","1","ZTF","","","None","125218087","","17.679800033569336","0.04984899982810021","ab","19.277544700068347"
"ZTF21abbyhvw","166.9945006","36.8756629","ztfg","59358.24491900019","1","ZTF","","","None","125218078","","17.836599349975586","0.07092099636793135","ab","19.051548068147238"
"ZTF21abbyhvw","166.9945032","36.8756423","ztfg","59369.22212960012","1","ZTF","","","None","125218088","","17.820899963378906","0.052060998976230614","ab","19.371504509109958"
"ZTF21abbyhvw","","","ztfi","59349.25668979995","1","ZTF","","","None","125218093","","","","ab","19.667600631713867"
"ZTF21abbyhvw","166.9944911","36.8756624","ztfr","59358.2858564998","1","ZTF","","","None","125218079","","17.920799255371094","0.06585499644279479","ab","19.216213217887823"
"ZTF21abbyhvw","166.9944224","36.875607","ztfi","59354.20549769979","1","ZTF","","","None","125218094","","19.19540023803711","0.19297400116920468","ab","19.32353902286461"
"ZTF21abbyhvw","166.9945036","36.875633","ztfi","59358.19763890002","1","ZTF","","","None","125218095","","18.1697998046875","0.0830330029129982","ab","19.213558732291187"
"ZTF21abbyhvw","166.9944765","36.8756423","ztfr","59371.223275499884","1","ZTF","","","None","125218089","","17.322500228881836","0.04816199839115142","ab","18.957624770841136"
"ZTF21abbyhvw","","","ztfg","59385.1999189998","1","ZTF","","","None","129852392","","","","ab","19.315500259399414"
"ZTF21abbyhvw","166.9945048","36.8756484","ztfr","59373.21912040003","1","ZTF","","","None","125218090","","17.37299919128418","0.046061001718044274","ab","19.056551533849085"
"ZTF21abbyhvw","166.9944857","36.8756249","ztfg","59373.26564810006","1","ZTF","","","None","125218091","","18.250900268554688","0.07045000046491622","ab","19.473083556867607"
"ZTF21abbyhvw","166.9945013","36.875646","ztfr","59375.22508100001","1","ZTF","","","None","125218092","","17.457199096679688","0.04863199964165687","ab","19.081779567830324"
"ZTF21abbyhvw","","","ztfg","59324.18665509997","1","ZTF","","","None","130074142","","","","ab","20.225200653076172"
"ZTF21abbyhvw","","","ztfr","59324.215972200036","1","ZTF","","","None","130074143","","","","ab","20.02869987487793"
"ZTF21abbyhvw","","","ztfi","59325.24118060013","1","ZTF","","","None","130074144","","","","ab","19.763900756835938"
"ZTF21abbyhvw","","","ztfg","59328.2182407002","1","ZTF","","","None","130074145","","","","ab","19.47369956970215"
"ZTF21abbyhvw","","","ztfr","59328.2355324002","1","ZTF","","","None","130074146","","","","ab","19.586700439453125"
"ZTF21abbyhvw","","","ztfg","59334.20347219985","1","ZTF","","","None","130074147","","","","ab","20.656200408935547"
"ZTF21abbyhvw","","","ztfr","59334.261111100204","1","ZTF","","","None","130074148","","","","ab","20.25119972229004"
"ZTF21abbyhvw","","","ztfi","59334.2978356001","1","ZTF","","","None","130074149","","","","ab","19.725200653076172"
"ZTF21abbyhvw","166.9945334","36.8756408","ztfi","59367.324282399844","1","ZTF","","","None","125218096","","17.631900787353516","0.064240001142025","ab","18.954272726466694"
"ZTF21abbyhvw","166.9944954","36.8756549","ztfi","59370.187893500086","1","ZTF","","","None","125218097","","17.54010009765625","0.05231399834156036","ab","19.085441101049327"
"ZTF21abbyhvw","166.9944968","36.8756585","ztfi","59377.204699099995","1","ZTF","","","None","125218098","","17.619060516357422","0.06072781607508659","ab","19.00247714774339"
"ZTF21abbyhvw","","","ztfr","59350.2240046002","1","ZTF","","","None","130074168","","","","ab","20.155099868774414"
